"ストラテジ系","ある企業が外部の事業者にプログラム開発を委託する際、発注内容、下請代金の額、支払期日などを記載した書面（または電磁的記録）を直ちに交付することを義務付けている法律として、最も適切なものはどれか。","特定商取引法","中小受託取引適正化法","不正競争防止法","個人情報保護法","2","1.0"
"ストラテジ系","SNSに写真を投稿する際、ネチケットの観点から最も不適切な行動はどれですか。","公園で自分ひとりが写っている写真を投稿する","自作した作品の写真を投稿する","旅行先の風景写真を投稿する","自宅付近のマンホールの写真を投稿する","4","-1.5"
"ストラテジ系","ウェブサイトやソーシャルメディアにおいて発言・拡散される、真実とは異なる偽の情報やニュースとして最も適切なものを選べ。","フェイクニュース","ディープフェイク","ファクトチェック","フィルターバブル","1","-1.5"
"ストラテジ系","JIS Q 31000として適切なものを選べ","ITガバナンス","リスクマネジメント","環境マネジメントシステム","情報セキュリティマネジメントシステム","2","1.5"
"ストラテジ系","3C分析の説明として、最も適切なものを1つ選べ。","市場環境、競合環境、自社環境の3つを軸に、自社の置かれている状況の分析を行う手法","最終購入日、購入頻度、購入金額の3つの指標を用いて、顧客をグループ分けする分析手法","売上高や貢献度に応じて顧客をグループ分けし、分析する手法","カテゴリ、テイスト、ブランドの3指標で顧客をグループ化、分類する分析手法","1","-0.5"
"ストラテジ系","他社の製品、サービス、技術を活用することで、より効率良く、短期間で新製品やサービスを開発できる仕組みとして、適切なものを選べ","コアコンピタンス","エコシステム","アウトソーシング","ベンチマーキング","2","0.0"
"ストラテジ系","（令和4年問34）
あるオンラインサービスでは、新たに作成したデザインと従来のデザインのWebサイトを実験的に並行稼働し、どちらのWebサイトの利用者がより有料サービスの申込みに至りやすいかを比較、検証した。このとき用いた手法として、最も適切なものはどれか。","ABC分析","A/Bテスト","クラスタ分析","リグレッションテスト","2","0.0"
"ストラテジ系","バリューエンジニアリングにおける価値の求め方として最も適切なものを1つ選べ","価値＝機能➗コスト","価値＝機能 × コスト","価値＝機能 − コスト","価値＝コスト➗機能","1","0.5"
"ストラテジ系","企業が持つ基幹業務に関するデータを効率良く管理するためのソフトウェアパッケージとして最も適切なものを選べ","SCMパッケージ","SFAパッケージ","CRMパッケージ","ERPパッケージ","4","0.0"
"ストラテジ系","新技術や新商品の市場普及に関する「イノベータ理論」におけるキャズムの説明として、最も適切なものを一つ選べ。","イノベーターとアーリーアダプターの間に存在する壁","アーリーマジョリティとレイトマジョリティの間に存在する壁","アーリーアダプターとアーリーマジョリティの間に存在する壁","レイトマジョリティとラガードの間に存在する壁","3","1.5"
"ストラテジ系","APIエコノミーを活用することによって得られるものとして適切なものを選べ","他社システムへの依存度を低減させることができる","導入後にAPIが停止しても使い続けられる","開発が短期間で済む","ユーザのニーズに応えることはできない","3","0.5"
"ストラテジ系","政府や地方自治体が、ICT（情報通信技術）を活用して行政手続きのオンライン化や業務効率化を進め、国民の利便性を高めた行政サービスを実現する取り組みを表す用語として、最も適切なものを一つ選べ。","デジタルガバメント","デジタルディバイド","コーポレートガバナンス","ガバナンスコード","1","0.0"
"ストラテジ系","書籍、雑誌、チラシなどの印刷物のレイアウト設計や文字・画像の編集をパソコン上で行い、印刷用の版下データを作成する一連の作業を表す用語として、最も適切なものを一つ選べ。","CAD","CG","DAW","DTP","4","0.0"
"ストラテジ系","人工知能を用いて作られた偽の画像、動画などを指す言葉として、最も適切なものを1つ選べ","ディープフェイク","ニューラルネットワーク","ディープラーニング","認知バイアス","1","-2.0"
"ストラテジ系","工場内の生産設備や作業員にIoT機器や各種センサーを設置し、稼働データを一元的に収集・分析・活用することで、生産性の向上や品質管理、業務の最適化を図る「スマートファクトリー」の説明として、最も適切なものを一つ選べ。","工場内のすべての作業を熟練作業員の勘と経験のみに依存させる製造形態","物理的な設備を持たず、すべての製造工程を海外の外部企業に完全委託するビジネスモデル","IoTやAIなどのデジタル技術を活用し、製造工程の可視化や自動化、データの利活用を推進する工場","工場内で発生する不要な廃棄物をすべてゼロにする環境保護のみを目的とした設備","3","-0.5"
"ストラテジ系","与信管理として行うべきことを全て挙げたものの組み合わせとして適切なものはどれか

a. 大手企業は社会的信用があるので調査を行わない
b. 取引先の信用力や取引内容を定期的にチェックする
c. 営業現場からの情報を、取引先の評価のために使用する",a.b.c,a.b,b.c,b,3,0.0
"ストラテジ系","EDIを導入することによって得られるメリットとして、適切なもののみを全て挙げた組み合わせはどれか

a, 転記ミスや紛失のリスクが減る
b, 受注業務の効率化
c, 通信が暗号化される",a,b,c,c,b,c,a,b,4,0.5
